run,tag,count,first_step,first_value,last_step,last_value,best_value,min_value
errnet_aug_struct_ft,train/VGG,93676,463920,1.3933920860290527,557595,1.4948900938034058,2.1438398361206055,0.9568595290184021
errnet_aug_struct_ft_old_composite_score,eval/testdata_objects/LMSE,3,60,0.0029320535250008106,60,0.003069475060328841,0.003138728206977248,0.0029320535250008106
errnet_aug_struct_ft_old_composite_score,eval/testdata_objects/NCC,3,60,0.9817146062850952,60,0.9829548597335815,0.9829548597335815,0.9817146062850952
errnet_aug_struct_ft_old_composite_score,eval/testdata_objects/PSNR,3,60,24.853036880493164,60,24.663864135742188,24.853036880493164,24.481531143188477
errnet_aug_struct_ft_old_composite_score,eval/testdata_objects/SSIM,3,60,0.8980403542518616,60,0.9005833268165588,0.9005833268165588,0.8974400162696838
errnet_aug_struct_ft_old_composite_score,eval/testdata_postcard/LMSE,3,60,0.004388982430100441,60,0.00439393101260066,0.00439393101260066,0.004329343792051077
errnet_aug_struct_ft_old_composite_score,eval/testdata_postcard/NCC,3,60,0.9462738633155823,60,0.9413593411445618,0.9462738633155823,0.9413593411445618
errnet_aug_struct_ft_old_composite_score,eval/testdata_postcard/PSNR,3,60,22.0710391998291,60,21.900554656982422,22.275060653686523,21.900554656982422
errnet_aug_struct_ft_old_composite_score,eval/testdata_postcard/SSIM,3,60,0.8772904276847839,60,0.8769497871398926,0.8772904276847839,0.8769497871398926
errnet_aug_struct_ft_old_composite_score,eval/testdata_real/LMSE,3,60,0.020101424306631088,60,0.01979868859052658,0.020997073501348495,0.01979868859052658
errnet_aug_struct_ft_old_composite_score,eval/testdata_real/NCC,3,60,0.8877345323562622,60,0.8843933939933777,0.8877345323562622,0.8802111744880676
errnet_aug_struct_ft_old_composite_score,eval/testdata_real/PSNR,3,60,23.553020477294922,60,23.040563583374023,23.553020477294922,23.040563583374023
errnet_aug_struct_ft_old_composite_score,eval/testdata_real/SSIM,3,60,0.8284651637077332,60,0.8239398002624512,0.8284651637077332,0.8239398002624512
errnet_aug_struct_ft_old_composite_score,eval/testdata_table2/LMSE,4,60,0.0048349518328905106,61,0.004978170618414879,0.0051648858934640884,0.0047270371578633785
errnet_aug_struct_ft_old_composite_score,eval/testdata_table2/NCC,4,60,0.9807964563369751,61,0.9771777987480164,0.9807964563369751,0.9753218293190002
errnet_aug_struct_ft_old_composite_score,eval/testdata_table2/PSNR,4,60,27.876651763916016,61,26.364044189453125,27.876651763916016,26.107275009155273
errnet_aug_struct_ft_old_composite_score,eval/testdata_table2/SSIM,4,60,0.9406821727752686,61,0.9290494322776794,0.9406821727752686,0.9276927709579468
errnet_aug_struct_ft_old_composite_score,eval/testdata_wild/LMSE,3,60,0.008292299695312977,60,0.004976207856088877,0.00901749450713396,0.004976207856088877
errnet_aug_struct_ft_old_composite_score,eval/testdata_wild/NCC,3,60,0.9359269738197327,60,0.9500404596328735,0.9500404596328735,0.9254467487335205
errnet_aug_struct_ft_old_composite_score,eval/testdata_wild/PSNR,3,60,25.1761417388916,60,25.747589111328125,25.747589111328125,24.910572052001953
errnet_aug_struct_ft_old_composite_score,eval/testdata_wild/SSIM,3,60,0.8860812783241272,60,0.9152097105979919,0.9152097105979919,0.8860812783241272
errnet_aug_struct_ft_old_composite_score,train/IPixel,11598,463920,0.032329581677913666,475517,0.06049158796668053,0.09439931064844131,0.032329581677913666
errnet_aug_struct_ft_old_composite_score,train/VGG,11598,463920,1.3933920860290527,475517,1.5639102458953857,2.269338607788086,1.3933920860290527
